Жанр фильма,"Продолжительность, часы","Продолжительность, минуты",Страна производства,Год производства
Драма,35,42,Италия,2008.0
Драма,1,16,Италия,2007.0
Документальный,1,45,США,2005.0
Драма,нет данных,42,Германия,2009.0
Комедия,1,43,Франция,2009.0
Боевик,1,43,США,2013.0
Боевик,1,25,США,2005.0
Документальный,нет данных,46,Россия,2006.0
Триллер,1,0,США,1999.0
Драма,5,39,Франция,2007.0
Драма,1,25,Франция,2007.0
Триллер,нет данных,37,Россия,2009.0
Триллер,нет данных,52,США,2015.0
Триллер,1,30,Италия,2007.0
Драма,нет данных,6,Франция,2008.0
Боевик,0,50,Россия-Италия,2007.0
Драма,1,35,США-Германия,2011.0
Триллер,2,50,Германия,2011.0
Драма,1,7,Россия,2009.0
Триллер,1,0,Россия,2011.0
Драма,2,25,Россия-Германия,
Драма,2,38,Франция-Италия,2007.0
Боевик,1,43,Италия,2016.0
Боевик,0,30,Россия,2006.0
Комедия,2,23,Россия,2012.0
Боевик,1,30,США,2005.0
Драма,нет данных,41,Россия,2012.0
Триллер,1,52,США,2008.0
Триллер,3,30,Россия,2011.0
Комедия,нет данных,35,Италия,
Боевик,1,12,США,2008.0
Драма,нет данных,52,США,2008.0
Боевик,1,27,Италия,2015.0
Триллер,1,8,Германия,2006.0
Драма,1,30,Германия,2011.0
Документальный,нет данных,18,Россия,2008.0
Драма,нет данных,41,Россия,2013.0
Драма,1,10,Франция,2009.0
Драма,1,47,Италия,2012.0
Документальный,1,8,США,2015.0
Боевик,1,32,Франция-Италия,2012.0
Триллер,0,30,США,2003.0
Боевик,1,5,США,2011.0
Боевик,1,24,Россия,2012.0
Драма,нет данных,29,Франция,2003.0
Боевик,нет данных,83,США-Германия,2017.0
Драма,1,28,Германия,2009.0
Боевик,1,54,США,2005.0
Триллер,нет данных,46,США,
Драма,1,28,Россия,2003.0
Боевик,1,44,Россия,2010.0
Драма,1,38,США-Германия,2009.0
Триллер,1,36,США,2013.0
Боевик,1,36,США,2007.0
Драма,нет данных,45,США,2011.0
Триллер,нет данных,40,Германия,2004.0
Драма,2,52,Германия,2016.0
Драма,1,45,США,2018.0
Драма,2,22,Италия,2005.0
Драма,нет данных,27,Россия,2006.0
Драма,нет данных,24,Италия,2004.0
Драма,1,39,Франция,2018.0
Комедия,1,59,Германия,2008.0
Документальный,1,27,Франция,2008.0
Драма,0,54,Россия,2015.0
Драма,1,34,США,2007.0
Комедия,1,44,Италия,2013.0
Драма,1,21,Италия,2006.0
Боевик,1,19,США,2003.0
Драма,2,21,Россия-Франция,2016.0
Боевик,1,25,Россия,
Триллер,2,54,Россия,2009.0
Драма,1,13,Франция,2007.0
Боевик,1,51,Россия,2010.0
Боевик,нет данных,52,Россия,2010.0
Драма,нет данных,44,Россия,2013.0
Комедия,1,40,США,2012.0
Драма,1,36,Италия,2004.0
Комедия,2,23,Франция,2009.0
Боевик,1,30,Италия,
Драма,0,55,Россия,2011.0
Комедия,0,45,Франция,2007.0
Боевик,1,60,США,2015.0
Триллер,1,26,Россия,2007.0
Триллер,1,33,США,
Драма,9,54,США-Германия,2016.0
Комедия,0,27,Италия,2008.0
Триллер,11,55,Италия,2019.0
Документальный,1,38,США,2013.0
Боевик,нет данных,23,Россия,2006.0
Боевик,1,22,США,2019.0
Документальный,1,0,США,2009.0
Боевик,1,31,Россия,2015.0
Драма,нет данных,52,Россия,2014.0
Боевик,1,37,Россия,2013.0
Документальный,нет данных,1,США,2007.0
Триллер,1,30,Германия,2017.0
Комедия,1,7,Германия,2018.0
Боевик,1,45,Россия,2013.0
Боевик,2,39,Россия,2007.0
Триллер,1,18,США,2004.0
Драма,нет данных,48,Россия,2016.0
Драма,11,43,США,2010.0
Драма,0,26,Россия,2002.0
Документальный,1,22,США,2004.0
Боевик,1,25,Россия,2014.0
Комедия,2,29,Россия,2018.0
Драма,нет данных,44,Россия,2013.0
Боевик,1,13,Франция,2006.0
Боевик,2,30,Россия,2020.0
Драма,1,22,Россия,2013.0
Драма,нет данных,11,Россия,2010.0
Боевик,0,40,Россия-Германия,2013.0
Триллер,2,20,Россия,2012.0
Боевик,0,30,Россия-Италия,2003.0
Боевик,1,10,Россия,2012.0
Боевик,нет данных,30,Россия,2010.0
Триллер,нет данных,41,Россия,
Триллер,12,12,США,
Документальный,1,0,Россия-Германия,2012.0
Боевик,1,55,США,2011.0
Боевик,2,42,США,2008.0
Документальный,15,46,Германия,2007.0
Драма,1,26,Россия,2014.0
Документальный,6,55,Россия,2009.0
Боевик,нет данных,34,США,2012.0
Комедия,1,25,Россия-Германия,2016.0
Комедия,1,22,Россия,2011.0
Боевик,1,26,США,2013.0
Боевик,1,33,Германия,2001.0
Драма,1,32,Россия-Германия,2017.0
Боевик,нет данных,0,Россия,2017.0
Боевик,1,52,Россия,2010.0
Комедия,4,9,Россия-Германия,2008.0
Триллер,1,17,Россия,2014.0
Триллер,9,47,Россия,2001.0
Драма,1,46,Италия,2007.0
Драма,1,43,Россия,
Боевик,2,12,Россия,2012.0
Триллер,1,84,Россия-Италия,2009.0
Боевик,2,30,США,2008.0
Боевик,0,18,Россия,
Триллер,1,36,США,2014.0
Драма,1,12,Германия,2014.0
Драма,1,30,США,2007.0
Драма,3,10,Франция,2015.0
Документальный,1,38,США-Германия,2006.0
Боевик,1,51,Франция-Италия,2009.0
Комедия,нет данных,21,США,2012.0
Боевик,1,35,Франция,2011.0
Триллер,1,6,США,2008.0
Триллер,0,35,Россия,2008.0
Драма,1,50,Россия,2011.0
Драма,нет данных,26,Россия,2009.0
Триллер,1,9,Франция,2005.0
Боевик,1,43,США-Германия,2009.0
Драма,0,53,США-Германия,
Комедия,1,25,США,2013.0
Триллер,1,12,Италия,
Драма,1,20,Россия,2001.0
Боевик,1,26,Россия,2003.0
Драма,0,55,Россия-Германия,1994.0
Боевик,2,40,США,2014.0
Боевик,1,38,США,2020.0
Боевик,2,12,США,2009.0
Документальный,1,50,США,
Боевик,2,48,Россия,2011.0
Драма,8,56,Россия,2004.0
Триллер,1,48,Россия,2004.0
Триллер,1,1,Германия,2013.0
Триллер,1,10,Россия,2013.0
Драма,1,10,Франция,2002.0
Триллер,1,15,Россия,2014.0
Боевик,0,20,Франция,2004.0
Драма,1,15,Германия-Франция,2008.0
Триллер,2,0,Россия,2002.0
Драма,0,21,Италия,2002.0
Драма,0,6,Германия,2013.0
Драма,4,44,Франция,2011.0
Боевик,1,51,Россия,2018.0
Документальный,1,40,США-Германия,2011.0
Драма,нет данных,10,США,2015.0
Драма,1,44,США,2004.0
Боевик,2,50,Франция,2005.0
Драма,2,44,Италия,2008.0
Боевик,1,0,Россия-Франция,2008.0
Триллер,1,43,Италия,
Боевик,0,37,США,2009.0
Комедия,1,32,Россия,2017.0
Триллер,1,53,Россия-Италия,2011.0
Боевик,1,40,США,2021.0
Комедия,2,44,Россия,
Триллер,нет данных,22,США,2013.0
Боевик,0,4,Россия,2006.0
Драма,2,31,США,2003.0
Триллер,1,37,Россия,2017.0
Драма,1,36,Италия,2006.0
Триллер,0,46,Германия-Франция,2011.0
Комедия,1,40,Италия,2005.0
Комедия,1,52,Германия,2011.0
Драма,1,25,США,2010.0
Драма,нет данных,40,Россия,2002.0
Драма,1,1,США,2013.0
Триллер,1,4,Германия,2016.0
Документальный,2,10,Россия,2009.0
Боевик,1,11,Франция,
Драма,0,28,США-Германия,2000.0
Боевик,1,15,США,2009.0
Комедия,1,10,Россия,2012.0
Комедия,1,23,США,2016.0
Боевик,1,50,Россия,2004.0
Триллер,1,31,Италия,2006.0
Боевик,нет данных,23,Германия,
Документальный,1,29,Франция,2011.0
Триллер,1,34,Италия,2012.0
Драма,1,38,Россия-Франция,2002.0
Триллер,нет данных,27,Россия,2009.0
Документальный,нет данных,36,Франция,2007.0
Боевик,1,28,Франция,2002.0
Боевик,1,37,Россия,2024.0
Боевик,нет данных,35,Германия,2008.0
Драма,1,35,США,2019.0
Комедия,1,4,США,2013.0
Боевик,1,45,Италия,2010.0
Триллер,2,0,США,2025.0
Документальный,2,43,Италия,2004.0
Триллер,нет данных,11,Россия-Германия,2011.0
Боевик,1,21,США,2015.0
Драма,нет данных,54,Франция,2007.0
Комедия,нет данных,40,США,2006.0
Боевик,1,20,Германия,2009.0
Драма,3,22,Россия-Германия,2009.0
Триллер,нет данных,10,Германия,2003.0
Боевик,2,27,Россия-Италия,
Триллер,0,39,Германия,2016.0
Боевик,нет данных,9,Россия,2007.0
Боевик,1,28,США,2005.0
Боевик,1,32,Франция,2008.0
Документальный,1,47,Италия,2001.0
Триллер,3,10,Италия,2006.0
Боевик,1,32,Германия,2016.0
Боевик,1,29,Германия,2007.0
Драма,нет данных,41,США-Германия,2007.0
Боевик,1,44,США,2015.0
Боевик,1,20,Италия,2009.0
Триллер,нет данных,9,Россия,2015.0
Драма,1,3,США,2014.0
Боевик,1,52,США,2004.0
Драма,2,40,Россия,2008.0
Документальный,2,52,Германия,2017.0
Комедия,2,29,США,2003.0
Боевик,1,14,Россия,2002.0
Драма,2,0,Россия-Франция,2015.0
Драма,17,35,США,2007.0
Триллер,нет данных,39,США-Германия,2011.0
Триллер,1,46,Россия,2018.0
Боевик,нет данных,38,Франция,
Боевик,1,34,Россия,2008.0
Боевик,1,21,США-Германия,2012.0
Боевик,1,18,Россия,2014.0
Драма,0,43,Германия,
Драма,1,13,Россия,
Триллер,нет данных,4,Россия,2007.0
Комедия,3,34,США,2004.0
Драма,1,10,США,2005.0
Драма,1,25,Италия,2001.0
Боевик,1,10,США,2007.0
Драма,1,13,Италия,2016.0
Драма,7,31,Франция,2014.0
Боевик,нет данных,32,Италия,2008.0
Боевик,1,50,Россия,2013.0
Боевик,1,52,Германия,2017.0
Комедия,2,30,Россия,2016.0
Драма,нет данных,22,Германия-Франция,2012.0
Драма,1,10,США,2007.0
Триллер,1,0,Россия,2005.0
Боевик,2,40,Германия,
Триллер,2,42,США,2010.0
Триллер,0,5,США,
Комедия,0,44,Германия,2004.0
Боевик,6,0,США,
Документальный,1,51,Франция,2008.0
Драма,1,34,Италия,
Боевик,нет данных,23,Россия,2015.0
Триллер,1,19,Франция,2004.0
Боевик,1,8,Россия,2005.0
Боевик,1,5,Россия,2006.0
Триллер,1,11,Италия,1996.0
Комедия,1,10,Россия,2011.0
Драма,1,25,США,
Боевик,1,26,США,2016.0
Боевик,3,55,Италия,2011.0
Драма,32,43,Франция,2017.0
Боевик,2,36,Франция,2012.0
Боевик,1,9,Италия,2007.0
Комедия,нет данных,58,Россия,2012.0
Документальный,1,40,Россия-Франция,2003.0
Триллер,1,28,Россия,2008.0
Драма,2,26,США,2005.0
Боевик,1,30,США,2013.0
Драма,2,49,США,2009.0
Комедия,0,7,США,2014.0
Драма,19,52,США,2018.0
Драма,1,45,Франция,2014.0
Документальный,1,50,Германия,2013.0
Комедия,0,39,США,2016.0
Боевик,нет данных,57,США,
Боевик,1,37,США,2007.0
Боевик,1,39,США,2008.0
Боевик,2,37,Россия-Италия,
Боевик,нет данных,37,США,2010.0
Боевик,1,56,Россия,2009.0
Драма,нет данных,10,США,2015.0
Драма,5,11,Россия,
Драма,1,29,Россия,2007.0
Боевик,1,27,США,2018.0
Боевик,нет данных,30,Италия,2005.0
Комедия,нет данных,33,Германия,2003.0
Комедия,7,16,Россия,2009.0
Триллер,нет данных,10,Италия,2012.0
Драма,1,59,Россия,
Триллер,1,44,Россия-Германия,
Боевик,0,46,Италия,1996.0
Триллер,2,30,Россия,2007.0
Боевик,1,40,Россия,
Комедия,1,24,Россия,2011.0
Комедия,нет данных,50,Россия,2002.0
Боевик,1,30,Германия,2004.0
Документальный,2,48,Италия,2009.0
Боевик,нет данных,0,США,1998.0
Документальный,1,39,США,2008.0
Драма,0,33,Россия,2009.0
Триллер,3,45,Германия,2010.0
Боевик,1,26,США,2012.0
Триллер,1,0,Россия,2006.0
Боевик,1,25,Германия-Франция,2006.0
Боевик,1,41,США-Германия,2010.0
Драма,1,25,США,
Драма,1,56,Германия,2006.0
Драма,1,10,США,2015.0
Боевик,нет данных,51,США,2014.0
Триллер,1,31,Россия,2007.0
Драма,2,20,Россия,2002.0
Драма,1,22,США,2007.0
Драма,1,20,Россия,2017.0
Боевик,1,43,Италия,2005.0
Драма,1,6,Италия,
Боевик,1,27,Россия,2006.0
Триллер,2,16,Россия,2010.0
Драма,13,26,Италия,2010.0
Документальный,1,26,Россия,2013.0
Боевик,1,12,Франция,
Драма,1,7,Россия,2002.0
Триллер,1,47,Россия,2008.0
Триллер,1,25,Германия,2020.0
Боевик,1,0,Франция,2012.0
Триллер,нет данных,50,Россия,2004.0
Драма,0,30,Россия,2010.0
Драма,0,13,Россия-Франция,2015.0
Драма,1,18,Германия,2008.0
Боевик,1,26,Франция,2007.0
Триллер,нет данных,31,Италия,2010.0
Триллер,1,52,Франция,2008.0
Драма,нет данных,43,Италия,2005.0
Боевик,1,3,Франция,2014.0
Драма,0,20,Россия,2011.0
Документальный,1,36,Италия,2010.0
Боевик,1,31,США,2018.0
Драма,0,51,Италия,2008.0
Документальный,1,30,Россия,1994.0
Триллер,2,30,Франция,2010.0
Драма,2,45,США,2007.0
Триллер,1,27,США,2012.0
Драма,8,35,США,2009.0
Драма,0,47,Россия,2006.0
Драма,нет данных,4,Россия,2006.0
Документальный,нет данных,28,Россия,2009.0
Документальный,1,50,Россия,2001.0
Триллер,1,34,Россия,2007.0
Триллер,нет данных,10,США,2014.0
Триллер,1,42,Италия,2008.0
Триллер,1,26,Россия,2017.0
Драма,1,10,Россия,2015.0
Драма,0,58,Россия,2016.0
Триллер,1,11,Германия,2009.0
Боевик,1,46,США,2016.0
Драма,1,47,США,2011.0
Драма,1,13,США,2014.0
Боевик,1,30,Франция-Италия,2006.0
Боевик,3,40,Россия,2010.0
Драма,1,2,Россия,2008.0
Триллер,8,12,Италия,2009.0
Боевик,1,20,Россия,2009.0
Боевик,1,25,Италия,2005.0
Триллер,1,40,Италия,2006.0
Боевик,1,35,Россия,2012.0
Боевик,1,36,Россия,2000.0
Драма,нет данных,54,Россия,2007.0
Драма,0,40,Россия,
Триллер,2,19,США,2007.0
Боевик,0,44,США,2013.0
Боевик,1,26,Россия,2011.0
Боевик,1,15,Германия,2012.0
Боевик,1,27,Россия-Франция,2008.0
Комедия,нет данных,30,Франция,2001.0
Триллер,1,34,США,2015.0
Боевик,2,27,Германия,2016.0
Боевик,0,30,Россия,2006.0
Драма,нет данных,0,Франция,2006.0
Драма,0,55,Россия,2010.0
Боевик,1,22,США,2004.0
Боевик,3,26,Франция,2017.0
Драма,1,31,США,2004.0
Боевик,0,54,США,2011.0
Комедия,нет данных,30,Россия,2013.0
Драма,нет данных,33,Россия,2004.0
Боевик,1,40,Германия,2005.0
Драма,1,3,Германия-Франция,2004.0
Триллер,нет данных,40,США,2011.0
Комедия,1,49,США,2011.0
Боевик,9,25,Германия,
Боевик,0,51,Германия,2005.0
Триллер,1,23,Россия,2016.0
Драма,0,26,США,2018.0
Драма,1,44,Италия,2006.0
Документальный,2,23,Германия,
Боевик,3,6,Россия,2013.0
Боевик,1,44,Россия,2013.0
Боевик,1,45,Россия,2012.0
Триллер,1,51,Россия,2010.0
Документальный,10,6,США,2006.0
Триллер,0,49,США,2017.0
Триллер,нет данных,37,Германия,2013.0
Боевик,1,45,Россия,2010.0
Комедия,1,29,Франция,2010.0
Документальный,нет данных,2,Россия,2005.0
Боевик,2,57,Германия,2003.0
Боевик,1,31,США,2006.0
Драма,1,46,США,2004.0
Драма,1,47,США-Германия,2012.0
Триллер,нет данных,2,США,2014.0
Драма,3,30,Франция,2017.0
Триллер,1,30,Франция,2005.0
Драма,1,19,США,1997.0
Боевик,0,13,Германия,2016.0
Драма,1,23,Германия,
Триллер,1,0,Россия,2006.0
Боевик,нет данных,30,Россия,1995.0
Триллер,1,10,Россия,2007.0
Документальный,1,54,США-Германия,2007.0
Боевик,2,8,Германия,2010.0
Комедия,0,43,Россия,
Драма,нет данных,0,США,2012.0
Триллер,нет данных,55,Франция,2004.0
Боевик,нет данных,38,Франция-Италия,
Боевик,3,16,Франция,
Драма,нет данных,0,Германия,2011.0
Драма,1,23,Россия,2004.0
Драма,нет данных,1,Италия,2003.0
Боевик,0,16,США,2013.0
Боевик,1,53,США-Германия,2007.0
Боевик,2,44,Франция,2005.0
Драма,65,28,Россия,2012.0
Документальный,3,48,Россия,2000.0
Драма,1,51,США,
Боевик,1,28,Франция,2004.0
